DATE,STOCK_CODE,TEXT_COL,net_tone,TWEET,LAST_PRICE_COL,1_DAY_RETURN,2_DAY_RETURN,3_DAY_RETURN,7_DAY_RETURN,label
2017-04-28,McDonald's,"['rt', 'fuck', 'fuck', 'yo', 'trash', 'ass', 'fries', 'fuck', 'yo', 'dry', 'ass', 'fish', 'fuck', 'yo', 'ice', 'cream', 'machine', 'amp', 'fuck', 'ronald', 'mcdonald', 'bit']",0.9385442405849838,"RT @SQUlDZ: FUCK @McDonalds FUCK YO TRASH ASS FRIES, FUCK YO DRY ASS FISH, FUCK YO ICE CREAM MACHINE &amp; FUCK RONALD MCDONALD BIT… ",139.93,0.0067176445365539,0.0065032516258128,0.0126491817337238,-0.0465947259343958,"Social Media Backlash, Brand Boycott, Negative Press, Speculation/Rumor"
2017-03-31,Ryanair,"['youve', 'changed', 'return', 'flight', 'times', 'flight', 'booked', 'couple', 'months', 'ago', 'assume', 'youre', 'not', 'gon', 'na', 'charge', 'cancelling']",0.9326787305766836,"@Ryanair you've changed my return flight times on a flight I booked a couple of months ago, I assume you're not gonna charge for cancelling?",14.55,-0.0171821305841924,-0.0281786941580756,-0.0178694158075602,0.0013745704467353,"Social Media Backlash, Customer Lawsuit"
2017-07-31,Google,"['guys', 'actually', 'dont', 'customer', 'support', 'need', 'help', 'finding', 'g', 'account', 'help', 'bad', 'im', 'crying']",0.9202879871219628,"@Google You guys actually don't have customer support ? What the ... I need help finding my G. Account and your ""help"" is so bad Im crying",945.5,0.0135695399259651,0.0135695399259651,0.0135695399259651,0.0558540454785827,"Social Media Backlash, Negative Press, Customer Lawsuit (potential - expressed frustration could lead to legal action)"
2017-02-28,CBS,"['ltlt', 'fake', 'news', 'grand', 'jury', 'must', 'called', 'investigate', 'left', 'wing', 'media', 'attempt', 'undermine', 'pres', 'trumps', 'presidency']",0.9192677225304268,"@CBS &lt;&lt; Fake news, a Grand Jury must be called to investigate Left Wing Media attempt to undermine Pres. Trump's presidency!",65.92,0.0047026699029126,0.0159283980582523,0.0159283980582523,0.0233616504854367,"Negative Press, Speculation/Rumor, Social Media Backlash"
2017-03-01,Ford,"['rt', 'dyk', 'announced', 'plans', 'cancel', 'plant', 'mexico', 'adding', 'jobs', 'mi', 'amp', 'fiat', 'chrysler', 'announced', 'b', 'investment', 'creating']",0.9163855235827768,"RT @USDOL: DYK? @Ford announced plans to cancel a plant in Mexico, adding 700 jobs in MI &amp; Fiat Chrysler announced $1B investment, creating…",12.69,-0.0126083530338849,-0.0023640661938533,-0.0173364854215917,-0.0015760441292355,"Trade Policy Change, Fiscal Stimulus, Employment Data"
2017-04-28,Reuters,"['rt', 'exclusive', 'trump', 'tells', 'chance', 'major', 'major', 'conflict', 'north', 'korea', 'days', 'interview']",0.9161232699179156,"RT @Reuters: EXCLUSIVE: Trump tells @Reuters there is a chance of 'major, major conflict with North Korea' in 100 days interview",50.0386,-0.0356604701170697,-0.052609385554352,-0.0550315156699028,-0.0616344182291271,"Geopolitical Tension, Speculation/Rumor"
2017-04-28,Reuters,"['rt', 'exclusive', 'trump', 'tells', 'chance', 'major', 'major', 'conflict', 'north', 'korea', 'days', 'interview']",0.9161232699179156,"RT @ReutersUS: EXCLUSIVE: Trump tells @Reuters there is a chance of 'major, major conflict with North Korea' in 100 days interview",50.0386,-0.0356604701170697,-0.052609385554352,-0.0550315156699028,-0.0616344182291271,"Geopolitical Tension, Speculation/Rumor"
2017-04-28,Reuters,"['rt', 'exclusive', 'interview', 'firstdays', 'trump', 'says', 'major', 'major', 'conflict', 'north', 'korea', 'possible']",0.9160824617883964,"RT @Reuters: In exclusive interview about his #First100Days, Trump says 'major, major' conflict with North Korea is possible… ",50.0386,-0.0356604701170697,-0.052609385554352,-0.0550315156699028,-0.0616344182291271,"Geopolitical Tension, Speculation/Rumor"
2017-07-31,Comcast,"['thanks', 'fucking', 'things', 'adding', 'security', 'time', 'throw', 'gateway', 'trash', 'guilty', 'shitty', 'company']",0.9159335793183228,"@ARRIS thanks for fucking things up by adding ""security""; time to throw this gateway in the trash. @comcast is guilty too. shitty company.",40.45,-0.022991347342398,-0.022991347342398,-0.022991347342398,-0.0242274412855378,"Social Media Backlash, Negative Press, Brand Boycott"
2017-07-31,Danone,"['rt', 'think', 'positively', 'exercise', 'daily', 'eat', 'healthy', 'work', 'hard', 'stay', 'strong', 'worry', 'less', 'read', 'happy']",0.9108336779190608,"RT @Danone: Think Positively and exercise daily. Eat healthy, work hard, stay strong, worry less, read more. Be happy.… ",63.09,0.0088762085909018,0.0088762085909018,0.0088762085909018,0.0152163575844031,None of the provided tags are relevant to this text. It's a motivational tweet from Danone and doesn't contain any financial or market-related information.
