label,Low,Med,High
Brand Boycott,-0.015161,0.005817,-0.002152
CEO Resignation (implied pressure on CEO),,,-0.005664
Customer Lawsuit,,0.032659,-0.017182
Customer Lawsuit (potential - expressed frustration could lead to legal action),,,0.013570
Cybersecurity Risk,,-0.017152,0.003240
Data Breach Incident,,-0.017152,0.003240
ESG Scandal,,0.033892,-0.007407
Election Result Impact,,-0.020402,-0.005450
Employment Data,,,-0.012608
Environmental Impact,,-0.002677,
Fiscal Stimulus,,0.007330,-0.000162
Geopolitical Tension,,0.000746,-0.019417
Industry Regulation Change,,0.005130,
Influencer Endorsement,-0.000057,0.001168,
Leadership Change,,-0.005339,-0.005664
Litigation Risk,,0.003435,-0.005664
Lobbying Activity (implied - falls under Regulatory Relaxation as the aim is to *ease* supervision),,-0.005166,
Meme Stock Activity,0.008543,0.002664,
Negative Press,,0.004681,-0.004551
New Product Launch,0.000000,-0.005640,
None of the provided tags are relevant to this text. It is an advertisement for an item for sale on eBay.,-0.011741,,
None of the provided tags are relevant to this text. It is an advertisement for vintage porcelain plates on eBay.,,0.005877,
None of the provided tags are relevant to this text. It is simply an advertisement for a product (matcha green tea) on eBay.,-0.005013,,
None of the provided tags are relevant to this text. It's a motivational tweet from Danone and doesn't contain any financial or market-related information.,,,0.008876
None of the provided tags are relevant to this text. This is a customer review of a service experience and does not contain any financial or market-related information.,,-0.059896,
None of the provided tags are relevant to this text. This is a listing for an item on eBay and does not contain any financial or market-related information.,-0.011741,,
None of the provided tags are relevant to this text. This is a product listing/advertisement for a necklace on eBay.,0.010682,,
None of the provided tags are relevant to this text. This is an advertisement for a collectible item on eBay.,-0.008365,,
None of the provided tags are relevant to this text. This is an advertisement for art being sold on eBay.,,0.005877,
None of the provided tags are relevant to this text. This is an advertisement for jewelry on eBay.,,0.009329,
None of the provided tags are relevant to this text. This is simply an advertisement for a used laptop on eBay.,0.011209,,
None.,,,0.000335
Policy Change (implied - relating to environmental regulations),,-0.002677,
Political Commentary (though not a direct market event,,,0.004438
Political Risk,,,-0.005450
Political Sentiment,,0.012314,
Positive Media Coverage,,-0.001249,0.000873
Positive Media Coverage (potential,,0.000335,
Positive Media Coverage (potentially,,-0.035660,
"Product Recall (implied - ""bricked"" suggests a faulty update leading to unusable devices)",,0.010932,
Regulatory Crackdown,,-0.003921,-0.000317
Regulatory Relaxation,,-0.005166,
Retail Investor Buzz,-0.004255,-0.004011,0.001565
Retail Investor Buzz (potentially,,,-0.002124
Social Media Backlash,-0.015161,0.006871,-0.001860
Social Media Backlash (potential,-0.005013,0.000335,
Social Media Backlash (potentially,,,0.005610
Social Media Backlash (potentially - depending on context of replies/engagement),-0.010797,,
"Social Media Backlash (potentially - depending on tone interpreted from ""hope it's not a trick!"")",,-0.013725,
Speculation/Rumor,-0.004033,-0.003382,-0.006966
Speculation/Rumor (due to potential market reaction to the news),,-0.006565,
Speculation/Rumor (due to the hashtag-driven nature and potential for collecting/speculation on vintage items),,0.011209,
Speculation/Rumor (due to the promotional nature and use of hashtags - could indicate trending item/activity),,0.000000,
Speculation/Rumor (given the promotional nature and link to an eBay listing with hashtags - suggests potential for trending/buzz),-0.017003,,
Speculation/Rumor (regarding impact of political funding).,,,0.004438
Speculation/Rumor (regarding potential demand/resale value),-0.005013,,
Stock Price Drop,,,-0.001148
Supply Chain Disruption,,0.000000,0.001284
Supply Chain Disruption (potential - delays *could* indicate this),,,-0.008830
This text is clearly about a vintage collectible item being sold on eBay. It has absolutely no relevance to financial markets. Therefore,0.010682,,
This text is clearly an advertisement and does not contain any financial information. Therefore,0.011209,,
This text is clearly an advertisement for a product (LED lights for trucks/trailers) on eBay. It doesn't relate to any financial market events or concepts. Therefore,-0.014085,,
This text is clearly an advertisement for a product on eBay. It does not contain any financial information or relate to market events. Therefore,-0.003486,,
This text is clearly an advertisement for a product on eBay. It doesn't relate to any financial market events or concepts. Therefore,,-0.011741,
This text is clearly an advertisement for jewelry beads on eBay. It does not contain any financial information or relate to market events. Therefore,0.004769,,
This text is clearly unrelated to financial markets. It's an advertisement for gemstone beads on eBay. Therefore,-0.006052,,
This text is completely irrelevant to financial markets. It's an advertisement for a used military uniform on eBay.,,0.003873,
This text is essentially an advertisement for a product on eBay. It has no relevance to financial markets. Therefore,0.009329,,
This text is overwhelmingly focused on retail/e-commerce listings and contains no financial information. Therefore,,0.009329,
This text is simply an advertisement for a product on eBay. It does not contain any financial information or relate to market events. Therefore,0.004769,,
Trade Policy Change,,0.000675,-0.006566
Viral Marketing Campaign,0.002642,-0.006633,0.002900
depending on context - could be promoting or reacting to something),-0.005013,,
depending on context - the hashtag usage suggests trending topic/discussion),,,0.005610
depending on how the hashtag campaign unfolds - could generate negative sentiment if perceived as exploitative),,0.000335,
"depending on interpretation of ""reflects on his #First100days"")",,-0.035660,
"depending on interpretation of showing ""wins"")",,-0.035660,
due to social media aspect),,,-0.002124
if the campaign is successful and generates positive attention for T-Mobile).,,0.000335,
it *could* lead to Brand Boycott/Customer Lawsuit - but is weak),,,0.004438
it doesn't fit any of the provided market-relevant explanation tags.,,0.009329,
it doesn't fit any of the provided tags.,0.002755,,
no relevant tags apply.,-0.006052,,
no tags apply.,0.001976,-0.011741,
