DATE,21CF,ASOS,AT&T,Adobe,Allianz,Amazon,American Express,Apple,AstraZeneca,Audi,BASF,BMW,BP,Bank of America,Bayer,BlackRock,Boeing,Burberry,CBS,CVS Health,Chevron,Cisco,Citigroup,CocaCola,Colgate,Comcast,Costco,Danone,Deutsche Bank,Disney,Expedia,Exxon,Facebook,FedEx,Ford,GSK,General Electric,Gillette,Goldman Sachs,Google,Groupon,H&M,HP,HSBC,Heineken,Home Depot,Honda,Hyundai,IBM,Intel,JPMorgan,John Deere,Kellogg's,Kroger,L'Oreal,Mastercard,McDonald's,Microsoft,Morgan Stanley,Nestle,Netflix,Next,Nike,Nissan,Oracle,P&G,PayPal,Pepsi,Pfizer,Reuters,Ryanair,SAP,Samsung,Shell,Siemens,Sony,Starbucks,TMobile,Tesco,Thales,Toyota,TripAdvisor,UPS,Verizon,Viacom,Visa,Vodafone,Volkswagen,Walmart,Wells Fargo,Yahoo,adidas,bookingcom,eBay,easyJet,salesforce.com
2017-01-31,,5266.0,42.16,113.38,,823.48,76.38,121.35,,677.0,,84.40799999999999,,,101.104,,163.42,1640.0,64.49,,111.35,30.72,55.83,41.57,,37.71,,,,110.65,,,130.32,189.11,12.36,,,4217.7,229.32,820.19,,,15.05,676.4,,137.58,3387.0,,174.52,36.82,,107.05,,33.96,,,122.57,64.65,42.49,,140.71,3830.0,52.9,,40.11,,39.78,103.78,31.73,49.3887,14.35,,,,,3423.0,55.22,62.27,194.6,,6584.0,,109.13,49.01,,,,,66.74,56.33,4.21,,,31.83,950.0,79.1
2017-02-01,,,42.06,,,832.35,,128.75,,,,,,22.89,,373.0,163.97,,64.6,,,,56.05,,,,,,,111.3,,82.94,133.23,186.27,12.32,,,4216.95,,815.24,,,14.99,,,,,,174.29,,84.95,,,,,105.0,122.42,63.58,42.7,,140.78,,53.02,,,,,103.01,,49.0803,,84.194,39120.0,,,,53.9,63.26,,,,51.87,,48.39,,,,,,55.91,4.21,147.54,,32.18,,
2017-02-28,,,41.79,118.34,163.94,845.04,80.06,136.99,4644.0,646.0219999999998,,84.22200000000002,,24.68,,387.46,180.23,1726.0,65.92,,,34.18,59.81,41.96,,37.42,,,17.5796,110.09,,81.32,135.54,192.98,,1648.0,,,,844.93,4.23,26.4,,646.5,,144.91,,149500.0,179.82,36.2,,,,,184.88,,127.65,63.98,,,142.13,,57.16,,,,42.0,,34.12,46.591,14.28,87.74,,2079.5,122.532,3478.0,56.87,62.53,188.4,,6365.0,41.47,105.76,49.63,,,201.9,,70.93,,4.6,157.863,,33.9,951.0,81.35
2017-03-01,,,42.04,,,853.08,,,,,,,,25.5,,,183.91,1772.0,67.26,,,,,,,,,,,111.04,,83.02,137.42,,12.69,,,,,856.75,,,17.62,,,,,,181.95,,93.6,,74.83,,,,129.05,,,,142.65,,57.95,,,,,109.73,,46.7012,,,,,,3529.0,,62.34,,,6466.0,,106.87,,,,,,70.45,,,160.5,,34.27,,83.81
2017-03-31,32.39,6045.0,41.55,130.13,,886.54,,143.66,,640.9,,,,23.59,106.097,,176.86,1724.0,69.36,,,,59.82,,,37.59,,,17.16,113.39,126.17,82.01,142.05,195.15,11.64,1659.5,28.6453,,229.72,847.8,,25.52,,,,146.83,3351.0,,174.14,,,108.86,,,191.15,,129.61,65.86,42.84,,147.81,,55.73,,44.61,,,,,47.6154,14.55,91.904,41200.0,,,3766.0,58.39,64.59,185.6,90.66,6042.0,,107.3,48.75,,,,136.468,72.08,55.66,,178.257,1779.97,33.57,1026.0,
2017-04-01,,,,,,886.54,,143.66,,,,,,,,,176.86,,69.36,,,,,,,37.59,,,17.16,,,82.01,142.05,,11.64,,,,,847.8,,,,,,,,,,36.07,,,,,,,129.61,65.86,,,147.81,,55.73,,,,43.02,111.86,34.21,47.6154,,,41200.0,2096.0,,3766.0,,64.59,,,6042.0,,107.3,,,,,,72.08,,,,,33.57,,
2017-04-28,,5820.0,39.63,133.74,,924.99,79.25,143.65,,641.846,,87.55,,23.34,111.478,,184.83,,66.56,,106.7,34.07,,43.15,72.04,39.19,177.52,,,115.6,133.72,81.65,150.25,189.7,11.47,1550.0,,,223.8,924.52,3.92,25.08,,636.5,81.85,,,,160.29,36.15,87.0,,71.0,,,,139.93,68.46,,,152.2,4305.0,55.41,,44.96,,,,,50.0386,15.91,91.989,44620.0,,131.137,3759.0,60.06,67.27,183.25,,6035.0,45.01,107.46,45.91,,,,145.347,75.18,53.84,4.54,183.716,1846.82,33.41,,86.12
2017-04-29,,,39.63,,,924.99,,,,,,87.55,,,,384.57,,,66.56,,,34.07,59.12,43.15,,39.19,,,,115.6,,,,189.7,,1550.0,,,,924.52,,,,,,,,,,,,,,29.65,,,139.93,,,,152.2,,55.41,,44.96,,,113.28,,50.0386,,,,,,,,67.27,,,,,,,,,,145.347,75.18,,4.54,,1846.82,33.41,,
2017-05-31,,,38.53,141.86,,994.62,76.94,152.76,,678.45,,83.488,,22.41,116.175,,,,61.11,,103.48,31.53,,45.47,,41.69,,,17.48,107.94,143.78,80.5,151.46,,11.12,,26.3191,,211.26,987.09,3.01,25.15,18.76,675.6,87.67,153.51,,,152.63,36.11,,,71.6,29.78,,,150.89,69.84,41.74,82.65,163.07,4360.0,52.99,1061.5,,,52.21,116.87,32.65,48.089,17.93,95.471,,,,4034.0,63.61,67.42,183.7,,5932.0,,105.97,46.64,,,,,78.6,51.14,4.3701,170.195,,34.3,,89.64
2017-06-01,,,,141.38,,995.95,,,,,,85.05,,,,,,,61.73,,,31.82,,,,41.66,,,,,,,,198.36,11.41,,,,215.01,988.29,,,,,,,,165500.0,152.67,36.12,,,,30.25,212.7,,152.39,70.1,,,162.99,,52.3,,,,,,,48.2983,18.28,,,,,,63.75,67.9,,,5989.0,,,,39.05,,,,79.81,,4.3701,171.169,1890.82,34.79,,
